Updated Time,Production Power(W),Consumption Power(W),Grid Power(W),Battery Power(W),SoC(%)
2024/08/02 00:00,0.0,1231.0,0.0,1242.0,94.0
2024/08/02 00:05,0.0,1217.0,0.0,1228.0,92.0
2024/08/02 00:10,0.0,901.0,0.0,915.0,90.0
2024/08/02 00:20,0.0,878.0,0.0,893.0,89.0
2024/08/02 00:25,0.0,979.0,0.0,995.0,88.0
2024/08/02 00:30,0.0,984.0,0.0,998.0,86.0
2024/08/02 00:35,0.0,1046.0,0.0,1060.0,85.0
2024/08/02 00:40,0.0,1044.0,0.0,1061.0,83.0
2024/08/02 00:45,0.0,984.0,3216.0,-2011.0,82.0
2024/08/02 00:50,0.0,1832.0,4078.0,-2028.0,85.0
2024/08/02 00:55,0.0,2387.0,4667.0,-2059.0,88.0
2024/08/02 01:05,0.0,2625.0,4932.0,-2084.0,91.0
2024/08/02 01:10,0.0,2635.0,4960.0,-2100.0,94.0
2024/08/02 01:15,0.0,2634.0,4616.0,-1790.0,97.0
2024/08/02 01:20,0.0,2643.0,4121.0,-1334.0,99.0
2024/08/02 01:25,0.0,2638.0,3783.0,-1030.0,100.0
2024/08/02 01:30,0.0,2629.0,3545.0,-818.0,100.0
2024/08/02 01:35,0.0,2253.0,3026.0,-690.0,100.0
2024/08/02 01:40,0.0,2244.0,2928.0,-611.0,100.0
2024/08/02 01:50,0.0,2248.0,2888.0,-572.0,100.0
2024/08/02 01:55,0.0,2261.0,2874.0,-545.0,100.0
2024/08/02 02:00,0.0,2266.0,2855.0,-526.0,100.0
2024/08/02 02:05,0.0,2249.0,2821.0,-511.0,100.0
2024/08/02 02:10,0.0,2256.0,2824.0,-502.0,100.0
2024/08/02 02:15,0.0,2191.0,2749.0,-493.0,100.0
2024/08/02 02:20,0.0,2175.0,2721.0,-484.0,100.0
2024/08/02 02:25,0.0,2407.0,2948.0,-480.0,100.0
2024/08/02 02:35,0.0,2282.0,2821.0,-478.0,100.0
2024/08/02 02:40,0.0,2040.0,2570.0,-471.0,100.0
2024/08/02 02:45,0.0,2333.0,2864.0,-472.0,100.0
2024/08/02 02:50,0.0,2091.0,2617.0,-468.0,100.0
2024/08/02 02:55,0.0,2097.0,2622.0,-465.0,100.0
2024/08/02 03:00,0.0,1980.0,2503.0,-464.0,100.0
2024/08/02 03:05,0.0,1770.0,2289.0,-459.0,100.0
2024/08/02 03:10,0.0,1950.0,2467.0,-459.0,100.0
2024/08/02 03:20,0.0,1716.0,2232.0,-458.0,100.0
2024/08/02 03:25,0.0,1641.0,2157.0,-456.0,100.0
2024/08/02 03:30,0.0,1649.0,2163.0,-455.0,100.0
2024/08/02 03:35,0.0,1629.0,2138.0,-454.0,100.0
2024/08/02 03:40,0.0,1620.0,2130.0,-450.0,100.0
2024/08/02 03:45,0.0,1850.0,2361.0,-450.0,100.0
2024/08/02 03:50,0.0,1844.0,2354.0,-450.0,100.0
2024/08/02 04:00,0.0,1848.0,2072.0,-197.0,100.0
2024/08/02 04:05,0.0,1839.0,2048.0,-184.0,100.0
2024/08/02 04:10,0.0,1815.0,2047.0,-207.0,100.0
2024/08/02 04:15,0.0,1809.0,2023.0,-190.0,100.0
2024/08/02 04:20,0.0,1656.0,1860.0,-180.0,100.0
2024/08/02 04:25,0.0,1656.0,1872.0,-191.0,100.0
2024/08/02 04:30,0.0,1653.0,1869.0,-189.0,100.0
2024/08/02 04:35,0.0,1644.0,1850.0,-183.0,100.0
2024/08/02 04:45,0.0,1660.0,1874.0,-188.0,100.0
2024/08/02 04:50,0.0,1686.0,1918.0,-203.0,100.0
2024/08/02 04:55,0.0,1681.0,1908.0,-198.0,100.0
2024/08/02 05:00,0.0,1682.0,1881.0,-171.0,100.0
2024/08/02 05:05,0.0,1784.0,2006.0,-194.0,100.0
2024/08/02 05:10,0.0,1876.0,2094.0,-191.0,100.0
2024/08/02 05:15,0.0,1865.0,2083.0,-190.0,100.0
2024/08/02 05:20,0.0,1924.0,2132.0,-182.0,100.0
2024/08/02 05:30,0.0,1898.0,2121.0,-195.0,100.0
2024/08/02 05:35,0.0,1901.0,2111.0,-184.0,100.0
2024/08/02 05:40,0.0,1929.0,2139.0,-187.0,100.0
2024/08/02 05:45,0.0,1797.0,1990.0,-171.0,100.0
2024/08/02 05:50,0.0,1740.0,1932.0,-174.0,100.0
2024/08/02 05:55,0.0,1650.0,1850.0,-185.0,100.0
2024/08/02 06:00,0.0,1657.0,1808.0,-161.0,100.0
2024/08/02 06:05,11.0,1629.0,1744.0,-150.0,100.0
2024/08/02 06:15,42.0,1621.0,1687.0,-154.0,100.0
2024/08/02 06:20,83.0,1614.0,1614.0,-143.0,100.0
2024/08/02 06:25,141.0,1619.0,1554.0,-143.0,100.0
2024/08/02 06:30,211.0,1802.0,1679.0,-150.0,100.0
2024/08/02 06:35,277.0,1096.0,898.0,-138.0,100.0
2024/08/02 06:40,322.0,1104.0,864.0,-145.0,100.0
2024/08/02 06:45,329.0,1018.0,0.0,620.0,99.0
2024/08/02 06:50,439.0,1014.0,0.0,507.0,99.0
2024/08/02 07:00,489.0,1147.0,0.0,590.0,98.0
2024/08/02 07:05,480.0,1139.0,0.0,595.0,97.0
2024/08/02 07:10,576.0,1135.0,0.0,493.0,96.0
2024/08/02 07:15,552.0,999.0,0.0,381.0,96.0
2024/08/02 07:20,426.0,959.0,0.0,464.0,95.0
2024/08/02 07:25,361.0,975.0,0.0,546.0,94.0
2024/08/02 07:30,322.0,975.0,0.0,584.0,94.0
2024/08/02 07:35,367.0,955.0,0.0,519.0,93.0
2024/08/02 07:45,383.0,1007.0,0.0,556.0,92.0
2024/08/02 07:50,411.0,909.0,2982.0,-2336.0,94.0
2024/08/02 07:55,387.0,990.0,1644.0,-1030.0,96.0
2024/08/02 08:00,468.0,1050.0,1255.0,-704.0,97.0
2024/08/02 08:05,611.0,1245.0,1166.0,-575.0,98.0
2024/08/02 08:10,796.0,1270.0,945.0,-515.0,99.0
2024/08/02 08:15,1027.0,1286.0,706.0,-483.0,100.0
2024/08/02 08:20,994.0,1247.0,681.0,-469.0,100.0
2024/08/02 08:30,1097.0,1312.0,632.0,-459.0,100.0
2024/08/02 08:35,908.0,1308.0,813.0,-454.0,100.0
2024/08/02 08:40,853.0,1289.0,843.0,-454.0,100.0
2024/08/02 08:45,1378.0,1293.0,324.0,-448.0,100.0
2024/08/02 08:50,1339.0,921.0,19.0,-481.0,100.0
2024/08/02 08:55,1270.0,865.0,18.0,-475.0,100.0
2024/08/02 09:00,1271.0,875.0,33.0,-473.0,100.0
2024/08/02 09:05,1220.0,818.0,33.0,-470.0,100.0
2024/08/02 09:15,1647.0,2019.0,775.0,-434.0,100.0
2024/08/02 09:20,1629.0,1817.0,587.0,-429.0,100.0
2024/08/02 09:25,1553.0,1812.0,657.0,-433.0,100.0
2024/08/02 09:30,2218.0,1988.0,163.0,-430.0,100.0
2024/08/02 09:35,1852.0,2002.0,549.0,-429.0,100.0
2024/08/02 09:40,2300.0,1992.0,101.0,-431.0,100.0
2024/08/02 09:45,2203.0,1986.0,186.0,-430.0,100.0
2024/08/02 09:50,1423.0,1922.0,899.0,-433.0,100.0
2024/08/02 10:00,1137.0,1928.0,1178.0,-427.0,100.0
2024/08/02 10:05,554.0,1897.0,1730.0,-433.0,100.0
2024/08/02 10:10,400.0,1985.0,1970.0,-426.0,100.0
2024/08/02 10:15,506.0,1912.0,2350.0,-946.0,99.0
2024/08/02 10:20,449.0,1998.0,1957.0,-448.0,100.0
2024/08/02 10:25,127.0,1867.0,0.0,1708.0,98.0
2024/08/02 10:30,148.0,714.0,0.0,507.0,97.0
2024/08/02 10:35,662.0,712.0,0.0,-4.0,96.0
2024/08/02 10:45,1159.0,711.0,0.0,-483.0,96.0
2024/08/02 10:50,1737.0,709.0,0.0,-1051.0,98.0
2024/08/02 10:55,910.0,525.0,0.0,-425.0,99.0
2024/08/02 11:00,811.0,524.0,0.0,-339.0,99.0
2024/08/02 11:05,502.0,238.0,0.0,-316.0,100.0
2024/08/02 11:10,496.0,248.0,0.0,-308.0,100.0
2024/08/02 11:15,593.0,348.0,0.0,-302.0,100.0
2024/08/02 11:20,733.0,485.0,0.0,-301.0,100.0
2024/08/02 11:30,763.0,512.0,0.0,-299.0,100.0
2024/08/02 11:35,549.0,301.0,0.0,-295.0,100.0
2024/08/02 11:40,552.0,316.0,0.0,-296.0,100.0
2024/08/02 11:45,740.0,502.0,0.0,-294.0,100.0
2024/08/02 11:50,536.0,307.0,0.0,-293.0,100.0
2024/08/02 11:55,471.0,237.0,0.0,-292.0,100.0
2024/08/02 12:00,500.0,272.0,0.0,-292.0,100.0
2024/08/02 12:05,657.0,411.0,0.0,-292.0,100.0
2024/08/02 12:15,524.0,297.0,0.0,-292.0,100.0
2024/08/02 12:20,520.0,300.0,0.0,-294.0,100.0
2024/08/02 12:25,515.0,296.0,0.0,-293.0,100.0
2024/08/02 12:30,526.0,296.0,0.0,-291.0,100.0
2024/08/02 12:35,524.0,296.0,0.0,-291.0,100.0
2024/08/02 12:40,517.0,295.0,0.0,-287.0,100.0
2024/08/02 12:45,1280.0,1817.0,934.0,-432.0,100.0
2024/08/02 12:50,1718.0,1798.0,483.0,-432.0,100.0
2024/08/02 13:00,1801.0,1843.0,448.0,-430.0,100.0
2024/08/02 13:05,1740.0,1849.0,518.0,-430.0,100.0
2024/08/02 13:10,1683.0,2017.0,737.0,-427.0,100.0
2024/08/02 13:15,1764.0,2000.0,645.0,-426.0,100.0
2024/08/02 13:20,2043.0,1997.0,357.0,-432.0,100.0
2024/08/02 13:30,0.0,1352.0,1352.0,-32.0,100.0
2024/08/02 13:35,1905.0,1502.0,30.0,-462.0,100.0
2024/08/02 13:40,2064.0,2202.0,549.0,-430.0,100.0
2024/08/02 13:45,1515.0,1096.0,20.0,-466.0,100.0
2024/08/02 13:50,1511.0,1090.0,15.0,-464.0,100.0
2024/08/02 13:55,1701.0,1291.0,20.0,-467.0,100.0
2024/08/02 14:00,1962.0,1541.0,19.0,-473.0,100.0
2024/08/02 14:10,2895.0,2630.0,160.0,-434.0,100.0
2024/08/02 14:15,2945.0,2475.0,17.0,-488.0,100.0
2024/08/02 14:20,3048.0,2575.0,0.0,-485.0,100.0
2024/08/02 14:25,3269.0,3699.0,860.0,-433.0,100.0
2024/08/02 14:30,4130.0,3651.0,0.0,-455.0,100.0
2024/08/02 14:35,3752.0,3297.0,37.0,-468.0,100.0
2024/08/02 14:40,3696.0,3166.0,-45.0,-458.0,100.0
2024/08/02 14:45,3743.0,3292.0,20.0,-449.0,100.0
2024/08/02 14:55,4017.0,3481.0,-43.0,-469.0,100.0
2024/08/02 15:00,2999.0,2593.0,42.0,-448.0,100.0
2024/08/02 15:05,3055.0,2586.0,0.0,-457.0,100.0
2024/08/02 15:10,2928.0,2470.0,23.0,-469.0,100.0
2024/08/02 15:15,2950.0,2475.0,10.0,-472.0,100.0
2024/08/02 15:20,2962.0,2491.0,10.0,-469.0,100.0
2024/08/02 15:25,2935.0,2520.0,42.0,-456.0,100.0
2024/08/02 15:30,2307.0,1866.0,17.0,-471.0,100.0
2024/08/02 15:40,1961.0,1859.0,12.0,-144.0,100.0
2024/08/02 15:45,2062.0,1888.0,23.0,-236.0,100.0
2024/08/02 15:50,2213.0,2651.0,656.0,-252.0,100.0
2024/08/02 15:55,2104.0,2945.0,1083.0,-276.0,100.0
2024/08/02 16:00,2001.0,2972.0,1138.0,-216.0,100.0
2024/08/02 16:05,2028.0,2966.0,1046.0,-158.0,100.0
2024/08/02 16:10,1917.0,2215.0,408.0,-157.0,100.0
2024/08/02 16:15,1188.0,1098.0,11.0,-168.0,100.0
2024/08/02 16:25,1549.0,1282.0,20.0,-330.0,100.0
2024/08/02 16:30,1549.0,1282.0,20.0,-330.0,100.0
2024/08/02 16:35,1412.0,1289.0,168.0,-339.0,100.0
2024/08/02 16:40,1173.0,1259.0,378.0,-337.0,100.0
2024/08/02 16:45,995.0,1321.0,604.0,-336.0,100.0
2024/08/02 16:50,747.0,1166.0,703.0,-332.0,100.0
2024/08/02 16:55,551.0,1078.0,808.0,-336.0,100.0
2024/08/02 17:00,471.0,1079.0,882.0,-329.0,100.0
2024/08/02 17:05,408.0,1200.0,1075.0,-332.0,100.0
2024/08/02 17:10,402.0,1199.0,1064.0,-331.0,100.0
2024/08/02 17:20,448.0,1221.0,1038.0,-331.0,100.0
2024/08/02 17:25,468.0,911.0,715.0,-331.0,100.0
2024/08/02 17:30,492.0,1042.0,815.0,-327.0,100.0
2024/08/02 17:35,442.0,921.0,744.0,-324.0,100.0
2024/08/02 17:40,553.0,985.0,702.0,-325.0,100.0
2024/08/02 17:45,613.0,1369.0,846.0,-139.0,100.0
2024/08/02 17:50,552.0,1359.0,907.0,-149.0,100.0
2024/08/02 17:55,569.0,1045.0,570.0,-145.0,100.0
2024/08/02 18:05,521.0,1027.0,603.0,-147.0,100.0
2024/08/02 18:10,461.0,1035.0,674.0,-149.0,100.0
2024/08/02 18:15,359.0,1170.0,896.0,-137.0,100.0
2024/08/02 18:20,235.0,1014.0,860.0,-146.0,100.0
2024/08/02 18:25,155.0,1021.0,945.0,-139.0,100.0
2024/08/02 18:30,134.0,1025.0,971.0,-142.0,100.0
2024/08/02 18:35,94.0,946.0,933.0,-139.0,100.0
2024/08/02 18:40,57.0,951.0,984.0,-139.0,100.0
2024/08/02 18:50,27.0,890.0,0.0,800.0,99.0
2024/08/02 18:55,1.0,905.0,0.0,891.0,98.0
2024/08/02 19:00,0.0,896.0,0.0,895.0,97.0
2024/08/02 19:05,0.0,892.0,0.0,897.0,96.0
2024/08/02 19:10,0.0,1080.0,0.0,1089.0,94.0
2024/08/02 19:15,0.0,1085.0,0.0,1099.0,93.0
2024/08/02 19:20,0.0,1080.0,0.0,1089.0,91.0
2024/08/02 19:25,0.0,1080.0,0.0,1089.0,91.0
2024/08/02 19:30,0.0,1071.0,0.0,1081.0,90.0
2024/08/02 19:35,0.0,1161.0,0.0,1172.0,88.0
2024/08/02 19:40,0.0,1151.0,0.0,1162.0,86.0
2024/08/02 19:45,0.0,1079.0,0.0,1091.0,85.0
2024/08/02 19:50,0.0,881.0,1950.0,-948.0,84.0
2024/08/02 19:55,0.0,841.0,3073.0,-2013.0,86.0
2024/08/02 20:00,0.0,836.0,3108.0,-2046.0,89.0
2024/08/02 20:05,0.0,829.0,3131.0,-2076.0,92.0
2024/08/02 20:15,0.0,840.0,3168.0,-2104.0,95.0
2024/08/02 20:20,0.0,862.0,2648.0,-1610.0,98.0
2024/08/02 20:25,0.0,860.0,2179.0,-1184.0,99.0
2024/08/02 20:30,0.0,870.0,1880.0,-905.0,100.0
2024/08/02 20:35,0.0,901.0,1721.0,-736.0,100.0
2024/08/02 20:40,0.0,1077.0,1790.0,-636.0,100.0
2024/08/02 20:45,0.0,1069.0,1722.0,-582.0,100.0
2024/08/02 20:50,0.0,1041.0,1654.0,-546.0,100.0
2024/08/02 21:00,0.0,1032.0,1626.0,-527.0,100.0
2024/08/02 21:05,0.0,1025.0,1596.0,-508.0,100.0
2024/08/02 21:10,0.0,1025.0,1584.0,-496.0,100.0
2024/08/02 21:15,0.0,1036.0,1591.0,-494.0,100.0
2024/08/02 21:20,0.0,1050.0,1588.0,-479.0,100.0
2024/08/02 21:25,0.0,1097.0,0.0,1106.0,99.0
2024/08/02 21:30,0.0,1102.0,0.0,1110.0,98.0
2024/08/02 21:35,0.0,1182.0,0.0,1190.0,96.0
2024/08/02 21:45,0.0,1018.0,0.0,1027.0,95.0
2024/08/02 21:50,0.0,1019.0,0.0,1029.0,93.0
2024/08/02 21:55,0.0,996.0,3274.0,-2055.0,94.0
2024/08/02 22:00,0.0,993.0,3332.0,-2116.0,97.0
2024/08/02 22:05,0.0,1005.0,2466.0,-1318.0,99.0
2024/08/02 22:10,0.0,1017.0,1978.0,-859.0,100.0
2024/08/02 22:15,0.0,828.0,1571.0,-664.0,100.0
2024/08/02 22:20,0.0,841.0,1503.0,-592.0,100.0
2024/08/02 22:30,0.0,1044.0,1664.0,-555.0,100.0
2024/08/02 22:35,0.0,985.0,1583.0,-532.0,100.0
2024/08/02 22:40,0.0,985.0,1567.0,-517.0,100.0
2024/08/02 22:45,0.0,993.0,1556.0,-499.0,100.0
2024/08/02 22:50,0.0,818.0,1370.0,-492.0,100.0
2024/08/02 22:55,0.0,1114.0,1661.0,-484.0,100.0
2024/08/02 23:00,0.0,930.0,1465.0,-474.0,100.0
2024/08/02 23:05,0.0,1196.0,1724.0,-469.0,100.0
2024/08/02 23:15,0.0,1867.0,2389.0,-464.0,100.0
2024/08/02 23:20,0.0,1745.0,2265.0,-461.0,100.0
2024/08/02 23:25,0.0,1918.0,2435.0,-456.0,100.0
2024/08/02 23:30,0.0,1903.0,2414.0,-453.0,100.0
2024/08/02 23:35,0.0,1932.0,2440.0,-451.0,100.0
2024/08/02 23:40,0.0,1938.0,2444.0,-452.0,100.0
2024/08/02 23:45,0.0,1271.0,1774.0,-446.0,100.0
2024/08/02 23:50,0.0,1357.0,0.0,1367.0,98.0
2024/08/03 00:00,0.0,1335.0,0.0,1345.0,96.0
2024/08/03 00:05,0.0,1337.0,0.0,1345.0,94.0
2024/08/03 00:10,0.0,1243.0,0.0,1251.0,92.0
2024/08/03 00:15,0.0,1228.0,0.0,1238.0,91.0
2024/08/03 00:20,0.0,1229.0,0.0,1238.0,89.0
2024/08/03 00:25,0.0,1230.0,0.0,1241.0,87.0
2024/08/03 00:30,0.0,1617.0,0.0,1626.0,85.0
2024/08/03 00:35,0.0,1586.0,0.0,1593.0,83.0
2024/08/03 00:45,0.0,1056.0,0.0,1068.0,81.0
2024/08/03 00:50,0.0,827.0,3039.0,-2001.0,81.0
2024/08/03 00:55,0.0,1943.0,4172.0,-2016.0,83.0
2024/08/03 01:00,0.0,2411.0,4672.0,-2043.0,86.0
2024/08/03 01:05,0.0,2410.0,4714.0,-2085.0,89.0
2024/08/03 01:10,0.0,2203.0,4503.0,-2081.0,92.0
2024/08/03 01:15,0.0,2190.0,4528.0,-2117.0,95.0
2024/08/03 01:20,0.0,2325.0,4204.0,-1702.0,98.0
2024/08/03 01:30,0.0,2073.0,3524.0,-1314.0,100.0
2024/08/03 01:35,0.0,1892.0,3028.0,-1023.0,100.0
2024/08/03 01:40,0.0,1893.0,2798.0,-815.0,100.0
2024/08/03 01:45,0.0,2127.0,2904.0,-695.0,100.0
2024/08/03 01:50,0.0,1894.0,2592.0,-624.0,100.0
2024/08/03 01:55,0.0,1738.0,2394.0,-589.0,100.0
2024/08/03 02:00,0.0,1733.0,2357.0,-560.0,100.0
2024/08/03 02:05,0.0,1738.0,2343.0,-539.0,100.0
2024/08/03 02:15,0.0,1743.0,2334.0,-528.0,100.0
2024/08/03 02:20,0.0,1768.0,2348.0,-515.0,100.0
2024/08/03 02:25,0.0,1763.0,2333.0,-508.0,100.0
2024/08/03 02:30,0.0,1786.0,2349.0,-498.0,100.0
2024/08/03 02:35,0.0,1758.0,2314.0,-492.0,100.0
2024/08/03 02:40,0.0,1754.0,2305.0,-488.0,100.0
2024/08/03 02:45,0.0,1961.0,2505.0,-482.0,100.0
2024/08/03 02:55,0.0,1898.0,2445.0,-483.0,100.0
2024/08/03 03:00,0.0,1793.0,2326.0,-473.0,100.0
2024/08/03 03:05,0.0,1766.0,2296.0,-468.0,100.0
2024/08/03 03:10,0.0,1763.0,2296.0,-469.0,100.0
2024/08/03 03:15,0.0,1767.0,2295.0,-469.0,100.0
2024/08/03 03:20,0.0,1616.0,2144.0,-466.0,100.0
2024/08/03 03:25,0.0,1630.0,2154.0,-464.0,100.0
2024/08/03 03:30,0.0,1629.0,2150.0,-461.0,100.0
2024/08/03 03:40,0.0,1624.0,2144.0,-459.0,100.0
2024/08/03 03:45,0.0,1634.0,2148.0,-455.0,100.0
2024/08/03 03:50,0.0,1624.0,2136.0,-452.0,100.0
2024/08/03 03:55,0.0,1622.0,2137.0,-453.0,100.0
2024/08/03 04:00,0.0,1621.0,2131.0,-452.0,100.0
2024/08/03 04:05,0.0,1647.0,1848.0,-182.0,100.0
2024/08/03 04:10,0.0,1833.0,2053.0,-194.0,100.0
2024/08/03 04:15,0.0,1814.0,2035.0,-192.0,100.0
2024/08/03 04:25,0.0,1811.0,2013.0,-181.0,100.0
2024/08/03 04:30,0.0,1816.0,2038.0,-194.0,100.0
2024/08/03 04:35,0.0,1805.0,2027.0,-195.0,100.0
2024/08/03 04:40,0.0,1806.0,2031.0,-199.0,100.0
2024/08/03 04:45,0.0,1668.0,1878.0,-182.0,100.0
2024/08/03 04:50,0.0,1766.0,1965.0,-175.0,100.0
2024/08/03 04:55,0.0,2067.0,2274.0,-183.0,100.0
2024/08/03 05:00,0.0,1581.0,1784.0,-180.0,100.0
2024/08/03 05:10,0.0,1552.0,1767.0,-190.0,100.0
2024/08/03 05:15,0.0,1557.0,1767.0,-183.0,100.0
2024/08/03 05:20,0.0,1572.0,1784.0,-189.0,100.0
2024/08/03 05:25,0.0,1576.0,1776.0,-175.0,100.0
2024/08/03 05:30,0.0,1583.0,1804.0,-193.0,100.0
2024/08/03 05:35,0.0,1790.0,1986.0,-173.0,100.0
2024/08/03 05:40,0.0,1755.0,1965.0,-187.0,100.0
2024/08/03 05:45,0.0,1775.0,1986.0,-186.0,100.0
2024/08/03 05:55,0.0,1075.0,1283.0,-185.0,100.0
2024/08/03 06:00,0.0,1074.0,1286.0,-190.0,100.0
2024/08/03 06:05,0.0,1064.0,1238.0,-169.0,100.0
2024/08/03 06:10,0.0,901.0,1069.0,-167.0,100.0
2024/08/03 06:15,0.0,905.0,1044.0,-146.0,100.0
2024/08/03 06:20,7.0,909.0,1010.0,-126.0,100.0
2024/08/03 06:25,18.0,919.0,993.0,-139.0,100.0
2024/08/03 06:30,59.0,920.0,939.0,-137.0,100.0
2024/08/03 06:40,119.0,904.0,867.0,-144.0,100.0
2024/08/03 06:45,164.0,915.0,823.0,-137.0,100.0
2024/08/03 06:50,215.0,927.0,795.0,-142.0,100.0
2024/08/03 06:55,266.0,930.0,754.0,-146.0,100.0
2024/08/03 07:00,314.0,1120.0,888.0,-137.0,100.0
2024/08/03 07:05,380.0,1017.0,709.0,-132.0,100.0
